??,?,?,?,??,??,?
1?? 1?,1,0,0,3,0,A
1?? 2?,0,1,1,1,4,A
1?? 3?,0,0,0,0,0,E
1?? 4?,0,1,0,1,1,A
1?? 5?,1,0,0,3,1,G
1?? 6?,0,0,1,0,8,E
1?? 7?,0,0,1,1,5,C
2?? 1?,0,0,1,1,3,G
2?? 2?,2,0,0,8,2,C
2?? 3?,0,0,1,2,5,D
2?? 4?,0,0,0,0,0,G
2?? 5?,0,0,1,1,3,C
2?? 6?,1,1,0,9,5,B
2?? 7?,0,1,0,2,2,B
3?? 1?,0,0,0,0,0,F
3?? 2?,1,0,0,5,2,D
3?? 3?,1,0,0,2,1,F
3?? 4?,1,0,0,8,0,E
3?? 5?,0,0,1,1,2,F
3?? 6?,0,0,0,0,0,D
3?? 7?,0,0,1,3,7,B
