조,팀
A,1-2
A,1-1
A,1-4
B,2-6
B,2-7
B,3-7
C,2-2
C,1-7
C,2-5
D,2-3
D,3-2
D,3-6
E,3-4
E,1-6
E,1-3
F,3-3
F,3-5
F,3-1
G,1-5
G,2-1
G,2-4
